symbol,date,trending
AMZN,3-Aug-13,0
AMZN,10-Aug-13,0
AMZN,17-Aug-13,0
AMZN,24-Aug-13,0
AMZN,31-Aug-13,7
AMZN,7-Sep-13,4
AMZN,14-Sep-13,5
AMZN,21-Sep-13,3
AMZN,28-Sep-13,8
AMZN,5-Oct-13,100
AMZN,12-Oct-13,52
AMZN,19-Oct-13,20
AMZN,26-Oct-13,14
AMZN,2-Nov-13,11
AMZN,9-Nov-13,9
AMZN,16-Nov-13,8
AMZN,23-Nov-13,10
AMZN,30-Nov-13,11
AMZN,7-Dec-13,12
AMZN,14-Dec-13,12
AMZN,21-Dec-13,14
AMZN,28-Dec-13,17
AMZN,4-Jan-14,27
AMZN,11-Jan-14,17
AMZN,18-Jan-14,16
AMZN,25-Jan-14,7
AMZN,1-Feb-14,15
AMZN,8-Feb-14,12
AMZN,15-Feb-14,7
AMZN,22-Feb-14,9
AMZN,1-Mar-14,10
AMZN,8-Mar-14,8
AMZN,15-Mar-14,7
AMZN,22-Mar-14,11
AMZN,29-Mar-14,8